PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 12.3 uM,Standard Deviation,Inhibition at 12.3 uM [1],Inhibition at 12.3 uM [2],Inhibition at 12.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 12.3 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
68,56321449,24981619,C1CC(CN(C1)C(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCN(CC3)C4=CC=C(C=C4)F)C(F)(F)F,Active,15,,,13.69,4.69422,12.7299,8.48429,19.8614
69,143472100,46742345,CC(C)(C)C1=CC=C(C=C1)CNC2=C(N=NC(=N2)C3=CC=CC=N3)C4=CC=CC=C4,Active,15,,,13.56,1.36535,11.6436,14.7141,14.3267
70,14726304,1071270,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O,Active,15,,,13.53,0.584658,13.9637,12.7018,13.9192
71,16952499,5138677,CCCCN1C2=C(C(=O)N(C1=O)CC(=O)NC3=CC(=C(C=C3)OC)Cl)N(C(=N2)CO)CCC,Active,15,,,13.35,1.94672,15.5774,10.8337,13.6258
72,17410442,1488228,C1=CC(=CC(=C1)S(=O)CC(=O)NC2=C(C=C(C=C2)Cl)Cl)C(F)(F)F,Active,14,,,13.27,0.526984,13.8903,13.3037,12.6012
73,144097035,54654643,CN1[C@H]2CC[C@@H](O[C@@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)NC4=CC=CC=C4F)CC(=O)NCC5=CC=C(C=C5)C6=CC=CC=C6,Active,14,,,13.22,2.42092,12.5542,10.6377,16.4559
74,7970286,2157548,CN1C=C(C2=CC=CC=C21)S(=O)(=O)CC(=O)N3CCC4=CC=CC=C43,Active,14,,,13.06,2.12771,11.7458,11.3757,16.0629
75,14744747,135512379,CC1(OCCO1)CC(=O)N/N=C/C2=CC(=C(C=C2O)O)[N+](=O)[O-],Active,14,,,13.02,3.09202,8.90382,13.8141,16.3529
76,144096940,60159039,CN1[C@H]2CC[C@@H](O[C@@H]2COC3=C(C1=O)C=C(C=C3)NS(=O)(=O)C4=CC=C(C=C4)F)CC(=O)NCC(F)(F)F,Active,14,,,13,2.26256,11.4932,11.3,16.1933
77,26670695,135679598,C1=CC(=C(C=C1O)O)/C=N/NC2=C(C=C(C=C2)S(=O)(=O)N)[N+](=O)[O-],Active,13,,,12.02,1.80599,14.575,10.8522,10.6442
78,57264455,616832,C1=CC2=C3C(=C1)NC(=NC3=CC=C2)C(F)(F)F,Active,13,,,11.92,4.73449,11.836,6.16079,17.757
