PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Chi Square,Rsquare,Number of DataPoints,Hill Slope,Response Range,Excluded Points,Inhibition at 0.0062 uM [1],Inhibition at 0.0062 uM [2],Inhibition at 0.0062 uM [3],Inhibition at 0.0062 uM [4],Inhibition at 0.0062 uM [5],Inhibition at 0.0062 uM [6],Inhibition at 0.019 uM [1],Inhibition at 0.019 uM [2],Inhibition at 0.019 uM [3],Inhibition at 0.019 uM [4],Inhibition at 0.019 uM [5],Inhibition at 0.019 uM [6],Inhibition at 0.056 uM [1],Inhibition at 0.056 uM [2],Inhibition at 0.056 uM [3],Inhibition at 0.056 uM [4],Inhibition at 0.056 uM [5],Inhibition at 0.056 uM [6],Inhibition at 0.17 uM [1],Inhibition at 0.17 uM [2],Inhibition at 0.17 uM [3],Inhibition at 0.17 uM [4],Inhibition at 0.17 uM [5],Inhibition at 0.17 uM [6],Inhibition at 0.5 uM [1],Inhibition at 0.5 uM [2],Inhibition at 0.5 uM [3],Inhibition at 0.5 uM [4],Inhibition at 0.5 uM [5],Inhibition at 0.5 uM [6],Inhibition at 1.5 uM [1],Inhibition at 1.5 uM [2],Inhibition at 1.5 uM [3],Inhibition at 1.5 uM [4],Inhibition at 1.5 uM [5],Inhibition at 1.5 uM [6],Inhibition at 4.5 uM [1],Inhibition at 4.5 uM [2],Inhibition at 4.5 uM [3],Inhibition at 4.5 uM [4],Inhibition at 4.5 uM [5],Inhibition at 4.5 uM [6],Inhibition at 13.6 uM [1],Inhibition at 13.6 uM [2],Inhibition at 13.6 uM [3],Inhibition at 13.6 uM [4],Inhibition at 13.6 uM [5],Inhibition at 13.6 uM [6],Inhibition at 40.8 uM [1],Inhibition at 40.8 uM [2],Inhibition at 40.8 uM [3],Inhibition at 40.8 uM [4],Inhibition at 40.8 uM [5],Inhibition at 40.8 uM [6],Inhibition at 122.5 uM [1],Inhibition at 122.5 uM [2],Inhibition at 122.5 uM [3],Inhibition at 122.5 uM [4],Inhibition at 122.5 uM [5],Inhibition at 122.5 uM [6]
25,24814054,4189088,CC(C)(C)C1=CN=NN1C2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)OC,Inactive,0,,,>,122.411,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.6,-2.2,-0.6,,,,-1.8,1.4,0.1,,,,3.3,4.1,0.2,,,,3.9,0.2,0.5,,,,-0.1,3.5,1.5,,,,3,0.7,3.8,,,,1.1,2.9,-1.6,,,,0,4.4,3.6,,,,4.8,-0.2,6.7,,,,4.7,4.7,0.5,,,
26,49665443,845479,C1=CC(=CC(=C1)NC(=S)NC(=O)/C=C/C2=CC=CO2)C(=O)O,Inactive,0,,,>,122.422,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.5,0.7,4.5,2.7,-5.3,3,2.7,-4.8,2.6,-0.3,-4.2,-4.5,-4.8,0.6,-0.3,-0.1,-6.6,-8.3,-5.8,-4.8,-10.3,-4.9,-2.2,-2.1,-8.2,-3.3,1,-0.2,-3.2,0.9,-7.3,-5,-2.2,2.3,0.1,-0.4,-8.2,-10.4,-5.8,-1.4,0.6,-2.1,-17.4,-9.3,-12.7,-3.3,-6.7,-2.6,-26.3,-32.8,-38.1,-0.7,-1.2,-3.6,-102,-104.5,-107.9,-9.4,-1.4,0
27,124753029,53299348,C1[C@H](N(C(=O)C(=O)N1)CCC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)CC3=CC=C(C=C3)O,Inactive,0,,,>,122.43,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.5,1,3.3,,,,2.4,4,4.3,,,,2.7,3.5,3.7,,,,2.5,0,-2.6,,,,1.7,2.6,7.2,,,,6.7,4.6,10.5,,,,9.9,6.4,8.3,,,,16.6,15.4,12.6,,,,28.8,24.5,30.5,,,,-196.5,56.1,55.6,,,
28,144096970,54656799,CN1[C@@H]2CC[C@H](O[C@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC(=CC=C4)F)CC(=O)OC,Inactive,0,,,>,122.43,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.5,-2.8,-5.8,,,,-4.9,-3.1,-8.2,,,,-0.9,-0.9,-1.4,,,,-7.2,-3.7,-4.2,,,,-0.6,-0.7,-8.9,,,,1.9,1.9,0,,,,-1.1,0.1,1.4,,,,3,0.4,4.7,,,,15,13.1,16.6,,,,35.1,40.9,38.8,,,
29,17432842,886825,C1=CC=C(C=C1)CSCC(=O)NC2=CC(=CC=C2)F,Inactive,0,,,>,122.432,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.2,-3.6,-3.2,,,,-4.2,-4.9,2,,,,-1.8,-1,-3.5,,,,-4.9,0.3,1.7,,,,-1.5,-1.8,0.3,,,,-3.3,-0.4,2.6,,,,2.1,0.6,0.4,,,,7.8,8,6,,,,13.1,4.5,9.3,,,,15.9,15.3,3.9,,,
30,17410769,5100198,C1=CC=C(C=C1)C(=NC2=CC=C(C=C2)Cl)NO,Inactive,0,,,>,122.433,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.7,-0.5,-0.5,,,,-1,-6.9,2.3,,,,2.7,-1.3,-2,,,,-0.7,-1,3.5,,,,0.7,2.1,4.8,,,,5.9,0.7,1.7,,,,6.7,4.9,6.9,,,,10.3,13.6,10.1,,,,16.9,14.4,16.3,,,,14.9,16.3,16.4,,,
31,22413520,1811598,CN(C1=CC=CC=C1)C(=O)COC2=CC=CC=C2C(=O)NCCOC3=CC=CC=C3,Inactive,0,,,>,122.435,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.1,-6.2,-2.3,,,,-4.2,-6.5,-5.4,,,,-4.2,-5.9,-0.4,,,,-4.5,-4.8,-7.1,,,,-0.1,3.2,1,,,,-0.5,1.5,-1.1,,,,4.6,-3.8,5.7,,,,7.7,6.2,4.8,,,,17.1,12.3,12.7,,,,13.6,7,12.2,,,
32,16953399,2118495,CC(C)(C)C1CCC(CC1)C(=O)NC2=CC=CC=C2,Inactive,0,,,>,122.44,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.3,0.6,-4.8,,,,-2.2,-2.5,-1.9,,,,-1.3,2,-3.1,,,,-0.5,-3.2,1.1,,,,-4.7,-1.9,-0.1,,,,-1,1.4,2.2,,,,7,4,-1.2,,,,8,7.1,11.3,,,,6.2,11.3,8.8,,,,4.6,1.8,2.8,,,
33,4240796,3235858,COC1=CC=CC=C1C2=CC(=NO2)C(=O)NC3=C(C=C(C=C3)F)F,Inactive,0,,,>,122.443,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.4,-5.3,-7.1,,,,-4.4,-4.9,-0.1,,,,-3.1,-5.3,-0.7,,,,1.5,-2.6,-1.3,,,,-1.7,-1.8,0.6,,,,-3.6,-0.9,0.1,,,,-31.7,-25,-23.1,,,,-77.2,-110.8,-83.3,,,,-235.4,-250.6,-313.3,,,,-636.5,-827.9,-641.4,,,
34,26670466,1591868,C1=CC(=CN=C1)N2C(=O)/C(=C/C3=CC=CO3)/SC2=S,Inactive,0,,,>,122.443,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.6,4.4,2.1,,,,3.6,3,5.6,,,,-0.2,2.3,2.3,,,,-0.1,3.2,-1.1,,,,3.2,3.5,0.7,,,,-1,-0.7,5.3,,,,2.9,-1.3,-0.1,,,,2.1,-4.8,-1.2,,,,-9.8,-0.7,-14.6,,,,-14.3,-22.1,-44.4,,,
35,50085435,6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,Inactive,0,,,>,122.444,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.8,-8.6,-0.3,-4.2,-2.1,-2.4,1,-1.8,-6.6,-2.4,-0.7,-4.8,-0.2,-1.4,-0.8,-0.8,-4.4,-3.1,-4.2,-5.8,-2,-5.4,-6.5,-2.3,-2,-6.9,-2.8,-3.6,-5.8,-7.1,-5.4,-7,-6.4,-1.3,-3.6,-7.8,3.2,2.5,4.8,6.4,5.9,5,4.8,3.2,5.9,5.3,6.6,9.1,0.5,0.1,-2,3.2,2.9,-4.3,-8,-6.3,-11.9,-13.8,-0.8,-3.4
36,24814503,5998602,C1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O,Inactive,0,,,>,122.448,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.8,-1.8,-0.2,,,,-0.1,-1.1,0.1,,,,0.5,3,-2.3,,,,-0.9,2.5,-1.4,,,,2.3,5.7,-0.5,,,,3.6,-1.8,-0.1,,,,6.5,1.5,6,,,,5,9.5,9.3,,,,22.5,21.7,17.2,,,,34.8,36.7,34.5,,,
37,47195844,8142978,CC1=C(C(=NC=C1[N+](=O)[O-])SC2=CC=CC=C2)[N+](=O)[O-],Inactive,0,,,>,122.449,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.3,0.4,-3.3,,,,-0.6,-2.1,-2.3,,,,2.7,-3.7,0.9,,,,1.2,-1.1,-0.2,,,,2.6,5.2,1.2,,,,-0.8,2.9,1.3,,,,-0.8,3.9,2.2,,,,4.5,0.6,0.2,,,,8.7,3.9,3.8,,,,11,9.1,7.1,,,
38,49825111,6237926,C1=COC(=C1)/C=C\2/C(=O)N(C(=S)S2)CC(=O)NC3=CC(=C(C=C3)C(=O)O)O,Inactive,0,,,>,122.451,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.4,3.5,-1.2,,,,0.6,-1.4,2.6,,,,-2,1.5,-3.5,,,,-0.4,0.5,0.5,,,,0.8,-2.1,-2.3,,,,1.3,1.1,0.9,,,,-2.9,-2.1,-2.5,,,,-11.9,-11.4,-8.2,,,,-28.4,-24,-28.7,,,,-75.9,-71.5,-71.7,,,
39,7967046,5308591,CCOC(=O)CSC1=NN=C(N1C2=CC=CC=C2C)CN3C4=CC=CC=C4SC3=O,Inactive,0,,,>,122.451,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.8,0.1,1.2,,,,-6.5,-2.3,-1.4,,,,-7.4,1.1,-1.9,,,,-6.8,0.3,-3,,,,-4.4,-4.7,-10.2,,,,-6.5,-2.4,-0.7,,,,-1.4,-2.8,-6.9,,,,-8.9,-8.6,-3.7,,,,-5.3,-2.5,-4.2,,,,-6.9,-37.9,-11.8,,,
40,49730750,22581361,CC1=CC=C(C=C1)S(=O)(=O)CCC(=O)NC2=NC(=CS2)C3=CC=NC=C3,Inactive,0,,,>,122.452,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1,2.1,-3.5,,,,-3.2,-4.9,-0.5,,,,-2,-1.8,-3.6,,,,-2.2,-5,-0.8,,,,-0.3,-7.3,-3.5,,,,-0.5,-7.4,-4.2,,,,-6.8,0.8,-0.8,,,,-5.7,-5.2,-5.4,,,,-10.6,-11.7,-15.9,,,,-39.1,-47.3,-35.1,,,
41,857314,658663,C1COCCN1CCN2C=NC3=C(C2=O)NC4=CC=CC=C43,Inactive,0,,,>,122.453,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3,-1.8,-2.4,,,,-3.1,-1.6,-4.6,,,,-2.2,-5.6,-3,,,,0,0.1,-0.2,,,,0.1,-0.6,1.1,,,,-2,1.9,-1.2,,,,-2.4,-2,-2.6,,,,-2,-4.7,-5.6,,,,-2.9,-1.4,-3,,,,-5.6,-11.6,-6.3,,,
42,26663487,5994065,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C(CC(=O)O)C(=O)O,Inactive,0,,,>,122.454,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.8,-1,1,-0.8,-5.2,0.4,2.1,3.5,0.5,-4.5,-1.7,-7.5,2.3,0.7,1,0.3,-1.7,-3.5,-1.2,4,2.3,-4.1,-0.8,-2.5,0.3,7.4,-2,6,3.6,1.2,11.1,5.6,10.1,8.5,3,3.5,4.5,8,1.2,10.7,6.5,11.6,2.8,2.3,3.2,6,5.6,4.8,-21.2,-24.6,-24.5,-0.7,-0.9,-10.5,-77.6,-80.9,-77.2,-34.3,-34.7,-55.9
43,17410442,1488228,C1=CC(=CC(=C1)S(=O)CC(=O)NC2=C(C=C(C=C2)Cl)Cl)C(F)(F)F,Inactive,0,,,>,122.457,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.2,4.7,-1.5,,,,1.4,-2.3,-0.1,,,,1.1,3.4,0.2,,,,-2.2,1.9,-0.8,,,,-3.2,1.7,-0.1,,,,0.8,2.7,3.5,,,,-2.5,-0.4,0.2,,,,-3.7,0.4,4.1,,,,2.8,-0.2,0.6,,,,3.6,3.8,4.3,,,
44,14744747,135512379,CC1(OCCO1)CC(=O)N/N=C/C2=CC(=C(C=C2O)O)[N+](=O)[O-],Inactive,0,,,>,122.457,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.1,2.5,-3.2,,,,-2.2,-1.7,-2.8,,,,-0.2,-2.1,-4.3,,,,-5.2,1.6,-4.4,,,,-1.1,-1.7,6,,,,-0.5,3.4,-0.6,,,,-0.7,0.5,-3.2,,,,2.9,1.7,0.8,,,,7.6,10,5.1,,,,18.8,14.3,17.5,,,
45,24840138,2355982,C1C(=O)N(C(=S)S1)NC(=O)C(=O)NN2C(=O)CSC2=S,Inactive,0,,,>,122.457,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.2,5.3,2.1,,,,3.9,-3.7,2.7,,,,4.4,0.2,0.9,,,,0.5,1.5,1.3,,,,2.7,5.1,1.3,,,,-0.4,-3.1,3,,,,1.7,2.4,-0.2,,,,1.5,2.6,2.1,,,,3,-4.1,-1.1,,,,-7.8,-7.9,-11.8,,,
46,49822503,6533011,CC(C(=O)NC1=CC(=C(C=C1)O)C(=O)O)N2C(=O)/C(=C/C3=CC=CO3)/SC2=S,Inactive,0,,,>,122.457,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.7,3.3,1.4,,,,2.7,-1.3,-1.4,,,,1.7,-0.2,3.8,,,,-2.3,-0.2,0.1,,,,4.1,0.1,-1.8,,,,-3.5,-0.8,-1.8,,,,-3.4,-4.2,-5.6,,,,-13.4,-19.5,-15.7,,,,-32.9,-31.4,-33.9,,,,-80,-84.3,-82.2,,,
47,14730721,254021,C1=CC=C2C(=C1)C3=C(C=C(C=C3)N)C(=O)C2=O,Inactive,0,,,>,122.457,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.4,0.7,-4.6,-3.4,-2.6,-6,-2.2,1.8,-4.2,-4.3,-6.7,-3.4,0,-4.4,-7.4,-5.8,-2.3,-1.3,1.2,-4.4,-2.4,-6.3,-3,-5.8,-3.6,-4,2.1,-7.9,-2.4,-4.2,-4.2,0.2,-7.7,-9.2,-8.1,-3,3.1,5.2,7.9,1.3,-0.8,2.6,7.1,7.6,6.8,1.5,2.8,3.4,6.4,10.5,8.2,5.1,0.2,3.8,10.3,12.8,11.1,6.9,3.1,6.8
48,14730082,1471994,COC1=CC=C(C=C1)NC(=O)C2=C(C3=C(S2)C=C(C=N3)C(F)(F)F)C4=CC=CS4,Inactive,0,,,>,122.457,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.9,-1.8,1.3,,,,-3.8,-0.9,-3.1,,,,-0.9,0.9,-0.2,,,,-4.2,-5,0.5,,,,-3.5,0.5,-2.6,,,,2.5,-2.9,-1.5,,,,-3.6,-3.7,-1.9,,,,-7.2,-7.6,-11.1,,,,-220,-135.7,-187.1,,,,-533.8,-534.1,-811.6,,,
49,24819912,3789397,C1C(=O)N(CS1=O)C2=CC=C(C=C2)OC3=CC=CC=C3,Inactive,0,,,>,122.459,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-10.1,-2.4,-8.7,,,,-9.3,-12.5,-5.3,,,,-12.9,-3.6,-4.9,,,,-4.2,-0.8,-8.3,,,,-0.9,4.2,-6.7,,,,-7.8,-2.1,-2.9,,,,-4,-12.7,-5.1,,,,-8.5,-4.2,-3.5,,,,0.8,-11.2,-2.5,,,,-10.5,-2.1,-6.3,,,
50,144089633,60156649,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)[C@@H]2C=C[C@@H](CN2C(=O)C)C(C(=O)OC)C(=O)OC,Inactive,0,,,>,122.459,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,-2.3,2.3,,,,-1.5,-2.9,2.7,,,,-5.1,4.6,2,,,,-0.8,1.5,0.3,,,,6.2,2.6,-0.3,,,,6.3,2.5,5.2,,,,0.4,2.7,-0.8,,,,-2.9,-1.9,-1.3,,,,-5,-6.9,-9.3,,,,-18.2,-25.7,-23.9,,,
51,17509616,12004907,C1=CC=C(C=C1)CSC2=CC=C(O2)/C=C\3/C(=O)NC(=S)S3,Inactive,0,,,>,122.46,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1,-1.5,0.9,,,,-1.2,1.7,-6.1,,,,-0.6,0.1,-2,,,,-3.1,-2.2,-2.6,,,,-0.5,-4.9,-6.9,,,,-2.5,-6,-7.9,,,,-6,-8.5,-7.1,,,,-15.6,-11.9,-14.2,,,,-26.3,-24.9,-28.8,,,,-50.7,-52.5,-49.7,,,
52,47197614,2965985,CCOC1=CC(=CC(=C1O)C(C2=C(NC3=CC=CC=C32)C(=O)O)C4=C(NC5=CC=CC=C54)C(=O)O)Br,Inactive,0,,,>,122.46,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.7,0.9,1,,,,-2.8,-0.1,-2.3,,,,6.3,2.3,-0.8,,,,-1.7,0.6,1.8,,,,2.1,6.3,1.1,,,,2.1,-0.4,2.9,,,,-2.9,-3.2,0.5,,,,-2.9,-2.2,-1.9,,,,-3.8,-2.5,-6.4,,,,-9.7,-5.6,-5.6,,,
53,14718820,5172669,CCCCNC(=S)NNC(=O)C1=CSC(=C1)C,Inactive,0,,,>,122.464,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3,-7,0.1,,,,-3.2,-2.7,-4.4,,,,4.5,-2.8,-1,,,,1.9,0,-6.4,,,,3.8,6.8,12.9,,,,9.1,11.5,12.4,,,,13.2,12.9,21.4,,,,19.7,18.6,15.1,,,,19.9,20.5,23.4,,,,19.8,19,21.1,,,
54,849853,135406347,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4)C(=O)CC5=CC=CS5,Inactive,0,,,>,122.464,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.6,-3.1,-4.5,,,,-7.6,-5.3,-6.8,,,,-7.2,-5.1,-7.8,,,,-2,-6.1,-17.3,,,,-4.2,-1.2,-3,,,,-1.8,-1.9,2.2,,,,2.4,1.2,1,,,,5.9,7.6,1.6,,,,8.6,6.6,12.2,,,,7.9,16.4,9.7,,,
55,93577542,45479905,CC(C)(C1=C(N=CC=C1)C#N)C(=O)OC,Inactive,0,,,>,122.464,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.9,0.9,0.6,,,,-1.2,-1.3,5.3,,,,2.7,0.9,0.1,,,,-0.9,-1.3,2.3,,,,7.4,4,4.6,,,,4.4,1.2,5,,,,2,-2.2,4.5,,,,-1.2,-4,2.5,,,,-0.4,-4.9,-0.6,,,,-5.5,-7.1,-5.9,,,
56,49823061,17579079,C1=COC(=C1)/C=C/2\C(=O)N(C(=S)S2)CCCC(=O)NC3=C(C=C(C=C3)O)C(=O)O,Inactive,0,,,>,122.465,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.7,-5.8,-3.1,,,,-5.1,0.8,-4.4,,,,-4.6,0.3,-0.7,,,,-0.6,-1.8,-5.3,,,,-2.7,0.8,-1.5,,,,-8.1,0.6,-5,,,,-8.4,-4.5,-2.5,,,,-11.7,-10.6,-10,,,,-34.8,-15.9,-13.1,,,,-35.1,-62.6,-35.9,,,
57,47193634,2221587,COC1=CC(=CC(=C1OC)OC)C(=O)NC2=CC3=C(C=C2)C(=O)N(C3=O)CCC(=O)O,Inactive,0,,,>,122.467,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.5,-6.5,-0.8,,,,-7.4,-9,-2.9,,,,-2.4,1.9,-5.8,,,,-6.2,-4.7,-2.7,,,,-1.4,-2.9,4.9,,,,-0.9,-3.3,-2,,,,-2.6,2.8,-0.4,,,,-1.8,-3.5,-6.7,,,,-2.2,3.5,-0.7,,,,-7,2.3,2.4,,,
58,144089634,60156650,CC[C@@H]1CN([C@@H](C=C1)C(=O)NS(=O)(=O)C2=CC=C(C=C2)C)C(=O)C,Inactive,0,,,>,122.467,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.5,-1,-6.3,,,,-7.6,-10.3,-6.6,,,,-2.9,-2.6,-4.8,,,,-5,-3,-2.7,,,,-10,-6.6,-5.4,,,,-6.5,-2.2,-2.9,,,,-9.4,-19,-12.9,,,,-28.9,-25.7,-25.6,,,,-64.4,-58.3,-53.4,,,,-152.4,-155,-155.8,,,
59,47197488,2966044,COC1=CC(=CC(=C1O)C(C2=C(NC3=CC=CC=C32)C(=O)O)C4=C(NC5=CC=CC=C54)C(=O)O)Cl,Inactive,0,,,>,122.468,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.7,-2.9,-4.7,,,,-0.8,-3.4,-2.8,,,,-8.3,-2.5,-5.7,,,,-2,-3.7,-2.5,,,,-8.1,-1.6,-1,,,,-4.9,0.5,-7.1,,,,-5.7,-8.5,-6.3,,,,-14.9,-6,-4.5,,,,-12.6,-16.1,-5.3,,,,-8.1,-22,-10.2,,,
60,24823295,5335985,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C=C\2/C(=O)NC(=S)S2,Inactive,0,,,>,122.468,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.8,2.1,-0.6,,,,0.2,-1,0.1,,,,-1,-3.3,-0.9,,,,0.2,-0.9,0.7,,,,-0.1,-1.6,-0.7,,,,-4.1,-7.7,1.5,,,,-6.5,-5.1,-6.8,,,,-3.4,0.9,1.9,,,,-4.5,-1.9,-2.7,,,,-15.8,-15.9,-14.7,,,
61,847676,135439099,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4Cl)C(=O)CC5=CC=CS5,Inactive,0,,,>,122.469,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.1,2.1,-0.3,,,,1.2,1.6,-2.9,,,,-1.3,0.4,-3.9,,,,0.3,-1.1,4.8,,,,1.2,6.9,6.7,,,,6.6,4.7,10,,,,12,10.9,9.9,,,,18.2,16.7,14.3,,,,14.9,17,14.8,,,,11.5,6.8,3.7,,,
62,24803353,1449344,CC1=CC(=NC=C1NC(=O)C2=CC=CS2)NC(=O)C3=CC=CC=C3,Inactive,0,,,>,122.469,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.8,-2.7,0.5,,,,1.3,4.4,2.7,,,,-1.4,1.2,3.6,,,,2.1,1.5,1.7,,,,-6,3.2,8.3,,,,7.5,9.3,9.5,,,,10.8,8.2,10.3,,,,10.5,12.5,16,,,,14,11.9,11.3,,,,11.2,9.6,6.4,,,
